title,image,link
《永劫無間》新英雄「劉煉」登場 同步推出賽季寶箱「淬鍊瑞珠」,https://p2.bahamut.com.tw/S/2KU/94/df25266b36a61d5a56cff8178c1pw8i5.JPG,//gnn.gamer.com.tw/detail.php?sn=267556
【模型】《碧藍航線》「島風 盛夏島嶼的小憩 Ver.」1/7 模型 DX 版 / 普通版開放預購中,https://p2.bahamut.com.tw/S/2KU/98/d30bfb00827bc43054af53aa251pwmi5.JPG,//gnn.gamer.com.tw/detail.php?sn=267551
《棕色塵埃 2》釋出第 13 個故事卡帶「SONG OF SNOW」宣傳影片,https://p2.bahamut.com.tw/S/2KU/34/59447a6898fa4efd01af7aeaba1pwhy5.JPG,//gnn.gamer.com.tw/detail.php?sn=267536
《武林群俠傳之虛空論劍》五月將迎來新資料片 加入十二套終極門派套裝,https://p2.bahamut.com.tw/S/2KU/11/7b17b58fa2d3077a6f5c1d39b71pwk35.JPG,//gnn.gamer.com.tw/detail.php?sn=267559
《古劍奇譚網路版》「鑿空渾淪」版本上線 同步展開「歡慶一週年」系列活動,https://p2.bahamut.com.tw/S/2KU/73/04b709cd59fd9133953b2305c11pwdh5.JPG,//gnn.gamer.com.tw/detail.php?sn=267558
《巔峰極速》24 年 S3「揚名之路」進行中 微笑殺手 McLaren 570S Coupe&#039;16 首度來襲,https://p2.bahamut.com.tw/S/2KU/56/8f06435b12ada280b9d01c1b751pwo45.JPG,//gnn.gamer.com.tw/detail.php?sn=267557
《SEGA 新創造球會 ROAD to the WORLD》舉辦「6th Anniversary SUPER STAR FES」,https://p2.bahamut.com.tw/S/2KU/41/e156e7bf506b1237f11d2329891pwnp5.PNG,//gnn.gamer.com.tw/detail.php?sn=267554
放置型動作 RPG《靈魂少女 Re:Born》 全球上市 從「靈」開始的黑幫老大養成之旅,https://p2.bahamut.com.tw/S/2KU/05/3b4b83fe1d6ab8d1f80a1313ad1pwmp5.JPG,//gnn.gamer.com.tw/detail.php?sn=267552
追趕跑跳碰！《A.V.A 戰地之王》五月改版 「Sports 運動會」模式回歸,https://p2.bahamut.com.tw/S/2KU/85/541716ece081b7271df75538241pwb15.JPG,//gnn.gamer.com.tw/detail.php?sn=267550
《鋼嵐》舉辦創意塗裝大賽 參加可獲得搶先塗裝限定徽記「焰狐烈影」,https://p2.bahamut.com.tw/S/2KU/06/2c2890720476518571eb6c4c891pwjy5.JPG,//gnn.gamer.com.tw/detail.php?sn=267545
電視動畫《怪獸 8 號》公開追加聲優名單 稗田寧寧、風間萬裕子參與配音,https://p2.bahamut.com.tw/S/2KU/84/b0ff3fa7d6a1148f49a3f667751pwjc5.JPG,//gnn.gamer.com.tw/detail.php?sn=267543
NVIDIA 執行長黃仁勳將在 COMPUTEX 2024 前發表主題演講 概述 AI 生態系統下一步發展,https://p2.bahamut.com.tw/S/2KU/78/2f77c6c628816062698727c67f1pwj65.JPG,//gnn.gamer.com.tw/detail.php?sn=267542
《境界之詩 Tactics》釋出全新外傳「結束與起始的道標」 五星限定英雄「艾瑪蘭妲」登場,https://p2.bahamut.com.tw/S/2KU/23/42ca47a55ba28caabb43289fbd1pwhn5.JPG,//gnn.gamer.com.tw/detail.php?sn=267535
為巨星喝采！《神之塔：New World》全新同伴 SSR [偶像] 夏侑拉登場,https://p2.bahamut.com.tw/S/2KU/96/464c8bf27bef1387eb860910191pwgw5.JPG,//gnn.gamer.com.tw/detail.php?sn=267534
《夢王國與沉睡中的 100 位王子殿下》開放全新活動「為亞特拉斯的聖夜點燃夢之火」,https://p2.bahamut.com.tw/S/2KU/70/fab8664ba2969759e271c2eaf61pwg65.JPG,//gnn.gamer.com.tw/detail.php?sn=267533
《香腸派對》SS13 賽季今日登場 實裝全新武器、英雄、地圖關卡,https://p2.bahamut.com.tw/S/2KU/46/35300a8aa4843aa899e64df3761pwfi5.JPG,//gnn.gamer.com.tw/detail.php?sn=267532
樂意傳播合作開發在地手機應用程式商店《快樂玩 STORE》 公布上市時間,https://p2.bahamut.com.tw/S/2KU/06/c1b00c38dee07f82b0abc577421pwmq5.JPG,//gnn.gamer.com.tw/detail.php?sn=267553
全新反英雄放置卡牌遊戲《魔王我不累》事前預約正式啟動,https://p2.bahamut.com.tw/S/2KU/38/baa419af2f0ef5ec088e7259dd1pwfa5.PNG,//gnn.gamer.com.tw/detail.php?sn=267528
《飛天歷險 2024》上線滿月 推出慶祝內容與母親節活動,https://p2.bahamut.com.tw/S/2KU/39/f09e0653962fb41b6fb54c71a81pwfb5.JPG,//gnn.gamer.com.tw/detail.php?sn=267530
